country,phase,trials
Poland,PHASE3,2808
Belgium,PHASE4,626
Germany,PHASE1;PHASE2,674
Serbia,PHASE1;PHASE2,17
United States,EARLY_PHASE1,2977
Austria,EARLY_PHASE1,13
France,EARLY_PHASE1,44
Germany,EARLY_PHASE1,42
Hungary,EARLY_PHASE1,6
Italy,EARLY_PHASE1,28
Spain,EARLY_PHASE1,55
United Kingdom,EARLY_PHASE1,102
Denmark,PHASE2,940
China,PHASE3,4299
China,PHASE4,2976
United States,PHASE4,9901
Canada,PHASE4,1499
United States,PHASE3,13210
Austria,PHASE3,1470
Belgium,PHASE3,2317
Brazil,PHASE3,1950
Czechia,PHASE3,1783
France,PHASE3,4569
Germany,PHASE3,4315
Mexico,PHASE3,1414
Netherlands,PHASE3,2114
Portugal,PHASE3,909
South Africa,PHASE3,970
Spain,PHASE3,3833
United Kingdom,PHASE3,5058
Canada,PHASE3,4696
Georgia,PHASE3,308
Italy,PHASE3,3585
Spain,PHASE4,1167
Sweden,PHASE4,398
United States,PHASE2,28828
United Kingdom,PHASE4,1171
Ukraine,PHASE3,1241
Australia,PHASE3,2440
New Zealand,PHASE3,766
China,PHASE1,4424
France,PHASE1,1057
China,PHASE2,6634
Netherlands,PHASE1,983
United States,PHASE1;PHASE2,7603
United States,PHASE1,22575
Norway,PHASE4,298
South Korea,PHASE1,1691
Poland,PHASE2,1529
Spain,PHASE2,2857
Brazil,PHASE4,792
China,PHASE1;PHASE2,2179
Poland,PHASE4,432
Italy,PHASE2,2625
Switzerland,PHASE2,823
South Korea,PHASE2,1923
United Kingdom,PHASE1,2771
Mexico,PHASE1;PHASE2,52
Germany,PHASE2,3307
Australia,PHASE1,1531
Canada,PHASE1,1715
Thailand,PHASE4,404
Turkey (Türkiye),PHASE4,629
Denmark,PHASE4,862
Belarus,PHASE3,140
Bulgaria,PHASE3,969
Hungary,PHASE3,1724
Russia,PHASE3,1804
Puerto Rico,PHASE2,589
France,PHASE2,3435
United Kingdom,PHASE2,3822
Hong Kong,PHASE2,292
Greece,PHASE3,956
Egypt,PHASE3,708
Puerto Rico,PHASE3,1007
Germany,PHASE4,1172
India,PHASE1,378
Brazil,PHASE2;PHASE3,247
Japan,PHASE1,1184
India,PHASE2;PHASE3,153
United States,PHASE2;PHASE3,2167
Australia,PHASE2;PHASE3,220
United Kingdom,PHASE2;PHASE3,445
South Korea,PHASE3,2557
Sweden,PHASE3,1356
Latvia,PHASE3,348
Slovakia,PHASE3,714
Australia,PHASE1;PHASE2,601
Belgium,PHASE2,1527
Germany,PHASE1,1939
Estonia,PHASE3,380
Israel,PHASE3,1656
Lithuania,PHASE3,400
Serbia,PHASE3,620
Canada,PHASE2,4049
Switzerland,PHASE3,1246
Taiwan,PHASE1;PHASE2,268
Pakistan,PHASE1,67
Serbia,EARLY_PHASE1,1
Israel,PHASE4,460
Japan,PHASE3,2566
Taiwan,PHASE3,1662
Turkey (Türkiye),PHASE3,1326
Russia,PHASE2,753
Egypt,EARLY_PHASE1,193
Israel,PHASE1,359
Norway,PHASE2;PHASE3,71
Japan,PHASE1;PHASE2,292
Taiwan,PHASE2,1024
Senegal,PHASE3,21
Singapore,PHASE1,328
Switzerland,PHASE4,547
France,PHASE4,1166
China,PHASE2;PHASE3,755
India,PHASE3,1061
Egypt,PHASE1;PHASE2,203
China,EARLY_PHASE1,900
Hungary,PHASE4,171
Sweden,PHASE1,317
Argentina,PHASE3,1277
Chile,PHASE3,676
Croatia,PHASE3,439
Denmark,PHASE3,1301
Lebanon,PHASE3,109
Moldova,PHASE3,58
Romania,PHASE3,1039
Thailand,PHASE3,790
South Korea,PHASE4,1452
Japan,PHASE2,1219
Serbia,PHASE2,239
Switzerland,PHASE1;PHASE2,216
Italy,PHASE4,1144
Australia,PHASE2,1608
Georgia,PHASE2,168
Turkey (Türkiye),PHASE1,77
Brazil,PHASE1,241
Romania,PHASE2,382
Finland,PHASE3,735
Pakistan,PHASE2;PHASE3,51
Turkey (Türkiye),PHASE2,410
Tanzania,PHASE1,23
Guam,PHASE3,9
Mexico,PHASE2,526
Italy,PHASE1,430
Hong Kong,PHASE3,488
Spain,PHASE1,1099
Belgium,PHASE1,1004
Greece,PHASE4,236
Netherlands,PHASE1;PHASE2,422
Japan,PHASE4,364
Egypt,PHASE4,992
South Korea,PHASE1;PHASE2,519
Spain,PHASE1;PHASE2,821
Egypt,PHASE2;PHASE3,422
Costa Rica,PHASE2,12
Taiwan,EARLY_PHASE1,30
Norway,PHASE3,624
Egypt,PHASE2,585
Norway,PHASE1;PHASE2,103
Singapore,PHASE2,364
Netherlands,PHASE2,1450
Poland,PHASE1,233
Slovenia,PHASE4,58
France,PHASE1;PHASE2,837
Israel,PHASE1;PHASE2,369
Sweden,PHASE1;PHASE2,194
Bulgaria,PHASE1,100
Hungary,PHASE1,117
Slovakia,PHASE1,53
Slovenia,PHASE3,169
Kuwait,PHASE3,11
Saudi Arabia,PHASE3,177
Tunisia,PHASE3,104
Malaysia,PHASE2;PHASE3,61
Netherlands,PHASE4,709
Dominican Republic,PHASE2;PHASE3,8
Ecuador,PHASE2;PHASE3,2
El Salvador,PHASE2;PHASE3,2
Panama,PHASE2;PHASE3,13
Peru,PHASE2;PHASE3,25
New Zealand,PHASE2,372
Belarus,PHASE2;PHASE3,13
South Africa,PHASE2;PHASE3,90
Uzbekistan,PHASE2;PHASE3,3
India,PHASE4,434
Singapore,PHASE3,547
Uganda,PHASE3,124
Denmark,PHASE1,334
Syria,PHASE2;PHASE3,5
Switzerland,PHASE1,413
Ukraine,PHASE2,480
Greece,PHASE2,466
Republic of the Congo,PHASE2,5
Norway,PHASE1,105
Israel,PHASE2,965
Bulgaria,PHASE2,391
Vietnam,PHASE3,275
Belgium,PHASE1;PHASE2,342
Canada,PHASE1;PHASE2,790
Denmark,PHASE1;PHASE2,225
New Zealand,PHASE1;PHASE2,70
United Kingdom,PHASE1;PHASE2,975
Sweden,PHASE2,843
Taiwan,PHASE2;PHASE3,144
Pakistan,PHASE4,185
India,PHASE2,392
South Africa,PHASE2,475
Austria,PHASE2;PHASE3,111
Belgium,PHASE2;PHASE3,201
Canada,PHASE2;PHASE3,519
Czechia,PHASE2;PHASE3,94
France,PHASE2;PHASE3,441
Germany,PHASE2;PHASE3,420
Italy,PHASE2;PHASE3,332
Spain,PHASE2;PHASE3,343
Sudan,PHASE2,10
Chile,PHASE2,253
Colombia,PHASE2,148
Hungary,PHASE2,702
Peru,PHASE2,122
Nepal,PHASE3,33
Peru,PHASE3,384
Russia,PHASE1;PHASE2,129
Egypt,PHASE1,284
Czechia,PHASE4,218
Finland,PHASE4,298
Mexico,PHASE4,302
Portugal,PHASE4,101
Romania,PHASE4,92
Argentina,PHASE2,369
Brazil,PHASE2,822
Czechia,PHASE2,758
Latvia,PHASE2,120
Iran,PHASE1,86
Cambodia,PHASE4,13
Ireland,PHASE3,576
Bosnia and Herzegovina,PHASE1,11
Georgia,PHASE1,29
Serbia,PHASE1,24
Bulgaria,PHASE2;PHASE3,46
Hungary,PHASE2;PHASE3,88
Lithuania,PHASE2;PHASE3,21
Netherlands,PHASE2;PHASE3,254
Slovakia,PHASE2;PHASE3,40
Pakistan,PHASE3,151
New Zealand,PHASE1,302
Iran,PHASE4,120
Slovakia,PHASE2,255
Italy,PHASE1;PHASE2,507
Jamaica,PHASE4,3
Belarus,PHASE1;PHASE2,28
Brazil,PHASE1;PHASE2,213
Poland,PHASE1;PHASE2,199
Turkey (Türkiye),PHASE1;PHASE2,74
Japan,PHASE2;PHASE3,192
Puerto Rico,PHASE1,137
Norway,PHASE2,460
Democratic Republic of the Congo,PHASE2;PHASE3,10
Guinea,PHASE2;PHASE3,5
Uganda,PHASE4,66
Austria,PHASE2,722
Finland,PHASE2;PHASE3,59
Australia,PHASE4,373
Nigeria,PHASE1,12
Hong Kong,PHASE1,86
Luxembourg,PHASE2,13
Croatia,PHASE1;PHASE2,15
Mongolia,PHASE1;PHASE2,3
Pakistan,PHASE2,110
Malaysia,PHASE3,470
Estonia,PHASE4,23
Costa Rica,PHASE3,61
Philippines,PHASE3,324
Singapore,PHASE1;PHASE2,110
Uganda,PHASE1,30
Saint Kitts and Nevis,PHASE4,2
Iran,PHASE1;PHASE2,90
Kenya,EARLY_PHASE1,3
Botswana,PHASE2;PHASE3,5
Saudi Arabia,PHASE4,90
Greece,PHASE2;PHASE3,79
Taiwan,PHASE4,640
Botswana,PHASE3,19
Tanzania,PHASE3,80
Zimbabwe,PHASE3,38
Chile,PHASE1,48
Puerto Rico,PHASE4,137
Iran,PHASE2,189
Thailand,PHASE1,110
Austria,PHASE4,392
Jordan,PHASE3,38
Dominican Republic,PHASE4,12
Panama,PHASE4,17
Burkina Faso,PHASE2;PHASE3,10
Moldova,PHASE1,79
Romania,PHASE1,70
Hong Kong,PHASE4,156
Portugal,PHASE2,268
Armenia,PHASE1,8
Sri Lanka,PHASE3,26
Finland,PHASE1,125
Burkina Faso,PHASE2,21
Pakistan,EARLY_PHASE1,44
Singapore,PHASE4,122
India,PHASE1;PHASE2,104
Malawi,PHASE1;PHASE2,13
Ukraine,PHASE1,57
Malta,PHASE3,7
Slovakia,PHASE4,65
Jordan,PHASE1,53
Finland,PHASE2,292
Lithuania,PHASE2,109
United Arab Emirates,PHASE1;PHASE2,12
Argentina,PHASE4,155
Sudan,PHASE1;PHASE2,2
Mali,PHASE2,30
Austria,PHASE1;PHASE2,116
Denmark,PHASE2;PHASE3,158
Colombia,PHASE2;PHASE3,57
Mexico,PHASE2;PHASE3,129
Jordan,PHASE1;PHASE2,24
Ethiopia,PHASE3,17
Greece,PHASE1,73
Taiwan,PHASE1,447
South Korea,EARLY_PHASE1,21
Austria,PHASE1,211
Argentina,PHASE2;PHASE3,96
Chile,PHASE2;PHASE3,44
Israel,PHASE2;PHASE3,182
Poland,PHASE2;PHASE3,185
Puerto Rico,PHASE2;PHASE3,67
South Korea,PHASE2;PHASE3,179
Cyprus,PHASE1,2
Russia,PHASE1,230
New Zealand,PHASE4,64
Colombia,PHASE3,543
Dominican Republic,PHASE3,58
Panama,PHASE3,78
Canada,EARLY_PHASE1,143
Ireland,PHASE2,218
Venezuela,PHASE3,60
Dominican Republic,PHASE1,18
Burkina Faso,PHASE3,29
Ireland,PHASE4,91
Portugal,PHASE1,69
United Arab Emirates,PHASE3,47
Uganda,PHASE2;PHASE3,30
Bangladesh,PHASE3,89
Iran,PHASE2;PHASE3,117
Kenya,PHASE3,105
Bosnia and Herzegovina,PHASE2,28
Croatia,PHASE2,110
Benin,PHASE2,5
Indonesia,PHASE3,134
Syria,PHASE4,15
Czechia,PHASE1,97
Finland,PHASE1;PHASE2,63
Bangladesh,PHASE2,86
Zimbabwe,PHASE2,29
Bosnia and Herzegovina,PHASE4,12
Chile,PHASE4,93
Croatia,PHASE4,69
Ecuador,PHASE4,5
Latvia,PHASE4,22
Lithuania,PHASE4,22
Malaysia,PHASE4,120
Philippines,PHASE4,71
Russia,PHASE4,268
Serbia,PHASE4,55
South Africa,PHASE4,138
Tanzania,PHASE2,53
Slovenia,PHASE2,82
South Africa,PHASE1,157
South Africa,PHASE1;PHASE2,75
Chile,PHASE1;PHASE2,56
Estonia,PHASE1;PHASE2,7
Malawi,PHASE2,31
Pakistan,PHASE1;PHASE2,40
Mexico,PHASE1,145
Saudi Arabia,PHASE2,77
Indonesia,PHASE2;PHASE3,59
Thailand,PHASE2,351
Guatemala,PHASE3,100
Venezuela,PHASE4,38
Moldova,PHASE2,72
Malawi,PHASE4,25
Cameroon,PHASE2,9
Côte d’Ivoire,PHASE2,6
Senegal,PHASE2,17
Sweden,PHASE2;PHASE3,115
Malaysia,PHASE2,145
Vietnam,PHASE2,85
Russia,PHASE2;PHASE3,116
Turkey (Türkiye),PHASE2;PHASE3,88
Mongolia,PHASE3,10
Mozambique,PHASE1;PHASE2,4
Philippines,PHASE2,102
Israel,EARLY_PHASE1,43
Nicaragua,PHASE2,1
Tanzania,PHASE2;PHASE3,11
New Zealand,PHASE2;PHASE3,55
Thailand,PHASE1;PHASE2,85
Qatar,PHASE3,18
Bosnia and Herzegovina,PHASE3,118
El Salvador,PHASE3,12
Benin,PHASE3,8
Ghana,PHASE3,42
Guinea,PHASE3,9
Indonesia,PHASE1,46
Iraq,EARLY_PHASE1,11
Latvia,PHASE1;PHASE2,7
Lithuania,PHASE1;PHASE2,9
Iran,PHASE3,186
Guam,PHASE2,8
Belarus,PHASE2,32
Brazil,EARLY_PHASE1,41
Kazakhstan,PHASE1,9
Gabon,PHASE3,6
Morocco,PHASE3,31
Thailand,PHASE2;PHASE3,103
Paraguay,PHASE4,3
Jamaica,PHASE2,12
Bolivia,PHASE3,6
Ukraine,PHASE4,77
Colombia,PHASE1;PHASE2,27
Ireland,PHASE1;PHASE2,33
Algeria,PHASE3,23
Hong Kong,PHASE2;PHASE3,56
Ireland,PHASE2;PHASE3,30
Jordan,PHASE2;PHASE3,8
Latvia,PHASE2;PHASE3,14
Portugal,PHASE2;PHASE3,69
Serbia,PHASE2;PHASE3,35
Ukraine,PHASE2;PHASE3,58
Kyrgyzstan,PHASE4,24
Vietnam,PHASE1;PHASE2,27
Mexico,EARLY_PHASE1,17
United Arab Emirates,PHASE1,7
Mozambique,PHASE2,15
Saudi Arabia,PHASE1;PHASE2,19
Malawi,PHASE3,55
Turkey (Türkiye),EARLY_PHASE1,25
Iceland,PHASE2,11
Bulgaria,PHASE4,71
Democratic Republic of the Congo,PHASE4,17
Hong Kong,PHASE1;PHASE2,58
Bangladesh,PHASE1;PHASE2,22
Switzerland,EARLY_PHASE1,46
Bosnia and Herzegovina,PHASE2;PHASE3,7
Tunisia,PHASE4,66
United Arab Emirates,PHASE4,27
Guinea-Bissau,PHASE3,3
Bangladesh,PHASE4,71
Cameroon,PHASE4,22
Kenya,PHASE4,53
Lebanon,PHASE4,62
Mozambique,PHASE4,13
Nigeria,PHASE4,34
Sudan,PHASE4,7
Zambia,PHASE4,21
Colombia,PHASE4,83
Ecuador,PHASE3,29
Guinea,PHASE4,5
Indonesia,PHASE4,96
Mali,PHASE4,14
Zimbabwe,PHASE4,12
Kazakhstan,PHASE1;PHASE2,6
Tanzania,PHASE4,43
Vietnam,PHASE4,71
Iceland,PHASE3,27
Luxembourg,PHASE3,16
Puerto Rico,PHASE1;PHASE2,72
Romania,PHASE2;PHASE3,59
Kazakhstan,PHASE3,36
Palestinian Territories,PHASE1,1
Luxembourg,PHASE1;PHASE2,7
Denmark,EARLY_PHASE1,63
Lesotho,PHASE3,4
Portugal,PHASE1;PHASE2,30
Peru,PHASE4,44
Dominican Republic,PHASE2,31
Gabon,PHASE4,11
Cambodia,PHASE2,5
Iraq,PHASE3,15
Iraq,PHASE2;PHASE3,6
Slovenia,PHASE2;PHASE3,14
Antigua and Barbuda,PHASE1,30
Slovenia,PHASE1,14
Benin,EARLY_PHASE1,2
Monaco,PHASE4,6
Lebanon,PHASE2,54
Mozambique,PHASE2;PHASE3,6
Trinidad and Tobago,PHASE1;PHASE2,4
Philippines,PHASE1,17
Bahrain,EARLY_PHASE1,1
Indonesia,PHASE2,93
Qatar,PHASE4,26
Thailand,EARLY_PHASE1,12
Uganda,EARLY_PHASE1,3
Argentina,PHASE1;PHASE2,50
Bulgaria,PHASE1;PHASE2,28
